VARIABLE,DESCRIPTION,SUM,AVERAGE,MAXIMUM,MINIMUM,ZERO_RECS
"CRMA2PERC","Personal Crime",2532121,79.0373942628835,931,0,42
"CRMA2MURD","Murder",2386398,74.488809813653,1676,0,42
"CRMA2RAPE","Rape",3315922,103.502887286575,2071,0,42
"CRMA2ROBB","Robbery",1254074,39.1445516121984,995,0,42
"CRMA2ASST","Assault",2873325,89.6877048412773,1067,0,42
"CRMA2PROC","Property Crime",2273344,70.9599525548584,1198,0,42
"CRMA2BURG","Burglary",2718205,84.845803289946,1518,0,42
"CRMA2LARC","Larceny",2220543,69.311826950089,1473,0,42
"CRMA2MVEH","Motor Vehicle Theft",1894976,59.1496082654431,1205,0,42
"CRMA2TOTC","Total Crime",2311059,72.1371851296938,1073,0,42
